Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.155089529965973,0.0891497928154382,0.106548243989106,0,0,0,27.154380119055,0.128305251803877,-0.000131818581333414,-1.11496294415566E-05,0.119231744921295,0.000277151030321704,0.0962057704956619,0,0,0,0,0,0,package://TayGap/meshes/base_link.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://TayGap/meshes/base_link.STL,,upldPart1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,3.6563E-09,0.061786,0.15491,0,0,0,40.19,0.50815,-1.6635E-09,8.2183E-09,0.50975,-0.033417,0.12975,0,0,0,0,0,0,package://TayGap/meshes/link_1.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://TayGap/meshes/link_1.STL,,upldPart2-1,Origin_joint_1,Axis_joint_1,joint_1,continuous,0.15509,-0.10565,0.14236,1.5708,0,3.0517,base_link,0,1,0,,,,,,,,,,,,
link_2,-3.4462E-08,0.12413,0.20373,0,0,0,118.94,2.7618,8.7947E-06,4.7526E-08,2.3197,0.17283,0.86325,0,0,0,0,0,0,package://TayGap/meshes/link_2.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://TayGap/meshes/link_2.STL,,upldPart3-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,0,0.094021,0.25,0,0.23991,0,link_1,0,1,0,,,,,,,,,,,,
link_3,-1.1102E-16,0,-0.077498,0,0,0,1.4255,0.051417,0,-8.7334E-19,0.051417,-1.6922E-18,0.00069051,0,0,0,0,0,0,package://TayGap/meshes/link_3.STL,1,1,1,1,0,0,0,0,0,0,package://TayGap/meshes/link_3.STL,,part4-1,Origin_joint_3,Axis_joint_3,joint_3,prismatic,0,0,0.40562,-1.5708,-0.85267,3.1416,link_2,0,0,1,0,0,0,0,,,,,,,,
